english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_acceptable,context
"You know the look, ""I'm cool and you're not.""","Du vet hur det är: ""Jag är cool och det är du inte.""","Du vet looken, ""jag är cool och det är inte du""",Du vet stilen: ”Jag är cool och du är det inte.”,"[""GR"", ""SEM"", ""PR""]",False,"[""Bobby was gay."", ""You couldn't miss the Why not?"", ""The kind of crowd we get."", ""You know, average guys."", ""Construction workers."", ""Grad students from NYU."", ""Easy mix."", ""Neighborhood."", ""So here's this character dressed kind of charivari."", ""Black t-shirt, gray silk jacket.""]"
"Bobby doesn't come in a lot, lately, more like after work for a Michelob.","Bobby kommer inte ofta, på sistone, mer som efter jobbet för en Michelob.","Bobby kommer inte hit ofta, på sistone, mer typ efter jobbet för en Michelob","Bobby kommer inte in så ofta numera, mer efter jobbet för en Michelob.","[""SAK"", ""LF"", ""SEM""]",False,"[""The kind of crowd we get."", ""You know, average guys."", ""Construction workers."", ""Grad students from NYU."", ""Easy mix."", ""Neighborhood."", ""So here's this character dressed kind of charivari."", ""Black t-shirt, gray silk jacket."", ""You know the look, \""I'm cool and you're not.\"""", ""You ever seen him with Holland before?""]"
I thought he was a hustler.,Jag trodde att han var en skojare.,Jag trodde han var lurendrejare,Jag trodde han var en hustler.,"[""SEM"", ""PR""]",False,"[""Easy mix."", ""Neighborhood."", ""So here's this character dressed kind of charivari."", ""Black t-shirt, gray silk jacket."", ""You know the look, \""I'm cool and you're not.\"""", ""You ever seen him with Holland before?"", ""Bobby doesn't come in a lot, lately, more like after work for a Michelob."", ""The silk jacket and Bobby were sitting over there."", ""Couldn't hear them, then they were gone."", ""Silk jacket- want to know the truth?""]"
Something about him.,Något om honom.,Något med honom,Det var något med honom.,"[""SEM""]",True,"[""Neighborhood."", ""So here's this character dressed kind of charivari."", ""Black t-shirt, gray silk jacket."", ""You know the look, \""I'm cool and you're not.\"""", ""You ever seen him with Holland before?"", ""Bobby doesn't come in a lot, lately, more like after work for a Michelob."", ""The silk jacket and Bobby were sitting over there."", ""Couldn't hear them, then they were gone."", ""Silk jacket- want to know the truth?"", ""I thought he was a hustler.""]"
Then trashes the place looking for something to take.,Sen förstörs stället och letar efter nåt att ta med sig.,Sen förstör han stället i jakt på något att ta,Sedan vandaliserar han stället i jakt på något att ta.,"[""SAK"", ""LF"", ""BET""]",False,"[""Silk jacket- want to know the truth?"", ""I thought he was a hustler."", ""Something about him."", ""I don't know."", ""I don't know."", ""So he was rough trade."", ""So they do their thing."", ""Mr. Silk Jacket does it all."", ""Sex."", ""Kills the guy.""]"
About as good as finding true love at Paradise Lost.,Ungefär lika bra som att finna sann kärlek i det förlorade paradiset.,Ungefär lika stor som att hitta kärleken i det förlorade paradiset,Ungefär lika troligt som att hitta sann kärlek i Paradise Lost.,"[""SEM""]",True,"[""Something about him."", ""I don't know."", ""I don't know."", ""So he was rough trade."", ""So they do their thing."", ""Mr. Silk Jacket does it all."", ""Sex."", ""Kills the guy."", ""Then trashes the place looking for something to take."", ""Yeah, and the odds on finding him?""]"
They just fade in.,De bara bleknar in.,De bara smälter in,De bara tonar in.,"[""SEM""]",False,"[""About as good as finding true love at Paradise Lost."", ""I don't know."", ""His parents, his boss, his coworkers, his neighbors... no one knew this guy was gay."", ""They're out there, I don't see them either."", ""Think a lot of cops are gay?"", ""No way, man."", ""Department's got a special test."", ""They look you in the eye, if your left eye blinks before your right eye they know you're gay."", ""They say one in 10, Max."", ""That's a lot.""]"
"Empty lot, six blocks away.","Tomma tomter, sex kvarter bort.","Ledig tomt, sex kvarter bort","Tom tomt, sex kvarter bort.","[""GR"", ""PR""]",True,"[""Department's got a special test."", ""They look you in the eye, if your left eye blinks before your right eye they know you're gay."", ""They say one in 10, Max."", ""That's a lot."", ""They just fade in."", ""Silk Jacket?"", ""Five to one he's not in any of these."", ""Good news and bad news."", ""The good news is somebody just walked in and confessed?"", ""The good news is they found the gun.""]"
Bobby had everything going for him.,Bobby hade allt på gång för honom.,Det gick bra för Bobby,Bobby hade allt som talade för honom.,"[""DIR"", ""SEM""]",False,"[""Bobby was always popular with the girls."", ""He was a halfback on the football team."", ""He was on the student council."", ""He was king of the prom."", ""He hid his magazines under the mattress."", ""\""Playboy.\"""", ""My son was not homosexual!"", ""She knows."", ""She just can't admit it."", ""Can you?""]"
When he dropped his high school girlfriend...,När han tappade sin high school-flickvän...,När han dumpade sin tjej från gymnasiet...,När han gjorde slut med sin gymnasieflickvän…,"[""DIR"", ""BET"", ""PR""]",False,"[""He hid his magazines under the mattress."", ""\""Playboy.\"""", ""My son was not homosexual!"", ""She knows."", ""She just can't admit it."", ""Can you?"", ""Bobby had everything going for him."", ""Any girl he wanted."", ""His friends would come over, hang out in the yard... just to be around him."", ""Have him throw the football, like that.""]"
Gorgeous.,Underbart.,Skitsnygg.,Ursnygg.,"[""GR"", ""LF"", ""SEM""]",True,"[""Again?"", ""The man ordered you up like a sandwich."", ""Ok, it's not like I'm sleeping with the guy."", ""We're just having fun."", ""At least it's stopping me from googling more bad reviews."", ""Anyway, you guys are gonna love this."", ""So we were out the other night."", ""Where did he take you?"", ""Brulee."", ""Uh Nice.""]"
Want to rub my nose in it?,Vill du gnugga näsan i den?,Vill du strö salt i såren?,Vill du gnida in det i ansiktet på mig?,"[""ID"", ""DIR"", ""BET""]",False,"[""He looked like everybody else."", ""He talked like everybody else."", ""Do you know if he brought people home a lot?"", ""I told him,"", ""\""You don't knowwhat kind of nuts you're meeting."", ""There's all kinds of loonies out there.\"""", ""That's- that's when I bought him the gun."", ""What about boyfriends?"", ""He ever tell you anything about any of them?"", ""What'd I want to hear?""]"
He'd never believe it.,Han skulle aldrig tro det.,Han skulle aldrig tro på det.,Han skulle aldrig tro det.,"[""DIR"", ""PR""]",True,"[""What about boyfriends?"", ""He ever tell you anything about any of them?"", ""What'd I want to hear?"", ""Want to rub my nose in it?"", ""He mentioned one guy."", ""A"", ""- Angel."", ""Angel... somebody."", ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?"", ""Or that you are?""]"
What about you and Bobby Holland?,Hur är det med dig och Bobby Holland?,Och mellan dig och Bobby Holland?,Hur var det med dig och Bobby Holland?,"[""SEM"", ""PR""]",False,"[""Want to rub my nose in it?"", ""He mentioned one guy."", ""A"", ""- Angel."", ""Angel... somebody."", ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?"", ""Or that you are?"", ""He'd never believe it."", ""He'd laugh."", ""And that's how I want it.""]"
I used to make fag jokes all the time.,Jag brukade skämta med bögar hela tiden.,Jag brukade dra bögskämt hela tiden,Jag brukade dra bögskämt hela tiden.,"[""SL"", ""LF"", ""BET""]",True,"[""A"", ""- Angel."", ""Angel... somebody."", ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?"", ""Or that you are?"", ""He'd never believe it."", ""He'd laugh."", ""And that's how I want it."", ""What about you and Bobby Holland?"", ""I used to hate being gay.""]"
"Anyway, Bobby would never let me get away with it.","Hur som helst, Bobby skulle aldrig låta mig komma undan med det.","Hur som helst, hade Bobby aldrig låtit mig komma undan med det.","Hur som helst, Bobby lät mig aldrig komma undan med det.","[""GR"", ""PR""]",True,"[""Angel... somebody."", ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?"", ""Or that you are?"", ""He'd never believe it."", ""He'd laugh."", ""And that's how I want it."", ""What about you and Bobby Holland?"", ""I used to hate being gay."", ""I used to make fag jokes all the time."", ""You know, the way blacks call each other nigger?""]"
We were over.,Vi var över.,Vi hade gjort slut,Det var slut.,"[""DIR"", ""SEM""]",False,"[""He'd laugh."", ""And that's how I want it."", ""What about you and Bobby Holland?"", ""I used to hate being gay."", ""I used to make fag jokes all the time."", ""You know, the way blacks call each other nigger?"", ""Anyway, Bobby would never let me get away with it."", ""I was in love with Bobby."", ""So you take a weekend out of town, and he picks up somebody else, huh?"", ""Six, eight weeks ago he started seeing somebody new.""]"
"I don't know what this guy had for him, but they met at the gym.","Jag vet inte vad han hade, men de träffades på gymmet.","Jag vet inte vad den här killen kände för honom, men de träffades på gymmet.","Jag vet inte vad den här killen hade som lockade, men de träffades på gymmet.","[""SAK"", ""BET""]",False,"[""And that's how I want it."", ""What about you and Bobby Holland?"", ""I used to hate being gay."", ""I used to make fag jokes all the time."", ""You know, the way blacks call each other nigger?"", ""Anyway, Bobby would never let me get away with it."", ""I was in love with Bobby."", ""So you take a weekend out of town, and he picks up somebody else, huh?"", ""Six, eight weeks ago he started seeing somebody new."", ""We were over.""]"
What are you a psychic now.,Vad är du synsk nu?,"Vadå, är du synsk nu?","Vadå, är du synsk nu?","[""GR"", ""SEM""]",True,"[""We were over."", ""I don't know what this guy had for him, but they met at the gym."", ""You know his name?"", ""He lives somewhere on the East Side."", ""Jack."", ""I don't know his last name."", ""Gray silk jacket named Jack."", ""Great."", ""A bullet to the head."", ""This case, I heard about it before.""]"
The same kind of killing.,Samma typ av dödande.,Samma sorts mord,Samma sorts mord.,"[""SEM"", ""PR""]",True,"[""You know his name?"", ""He lives somewhere on the East Side."", ""Jack."", ""I don't know his last name."", ""Gray silk jacket named Jack."", ""Great."", ""A bullet to the head."", ""This case, I heard about it before."", ""What are you a psychic now."", ""A month ago, maybe two.""]"
Gay bashing?,Bögbajs?,Böghat?,Bögmisshandel?,"[""SL"", ""LF"", ""BET""]",False,"[""He lives somewhere on the East Side."", ""Jack."", ""I don't know his last name."", ""Gray silk jacket named Jack."", ""Great."", ""A bullet to the head."", ""This case, I heard about it before."", ""What are you a psychic now."", ""A month ago, maybe two."", ""The same kind of killing.""]"
Redwoods.,Rödträ.,Redwoods,Redwoods.,"[""PR""]",True,"[""A bullet to the head."", ""This case, I heard about it before."", ""What are you a psychic now."", ""A month ago, maybe two."", ""The same kind of killing."", ""Gay bashing?"", ""I read about it."", ""\""Time,\"" \""Newsweek,\"" last week or the week before."", ""You sure you didn't read about this in your dreams?"", ""\""California.\""""]"
"Gun was found in an empty lot, wiped clean.","Pistolen hittades på en tom tomt, rensad.","Pistolen hittades på en ledig tomt, torkad ren","Vapnet hittades på en tom tomt, avtorkat.","[""LF"", ""BET"", ""PR""]",True,"[""I read about it."", ""\""Time,\"" \""Newsweek,\"" last week or the week before."", ""You sure you didn't read about this in your dreams?"", ""\""California.\"""", ""\""Redwoods.\"""", ""\""Michelle Pfeiffer.\"""", ""One of them interests you."", ""\""Earthquakes.\"""", ""And murder."", ""No prints here either.""]"
Uh-huh.,Okej.,Mm-hmm.,Mm.,"[""SEM""]",True,"[""You going to thank me?"", ""Huh?"", ""Well, I can't stand anymore."", ""I'll be back later."", ""ETHEL:"", ""Ah!"", ""Stay out of the kitchen."", ""FRED:"", ""How about another biscuit, Ethel?"", ""ETHEL:""]"
Ripped the place apart.,Jag rev sönder stället.,Slog sönder stället.,Rev sönder stället.,"[""ADD"", ""BET"", ""SEM""]",False,"[""\""California.\"""", ""\""Redwoods.\"""", ""\""Michelle Pfeiffer.\"""", ""One of them interests you."", ""\""Earthquakes.\"""", ""And murder."", ""No prints here either."", ""Gun was found in an empty lot, wiped clean."", ""Burglary?"", ""Uh-huh.""]"
"Yeah, all right.",Okej.,"Ja, det är lugnt","Ja, okej.","[""SAK"", ""SEM""]",True,"[""Yeah."", ""Whatbringsyouhere?"", ""That'sa goodquestion."", ""But we have time."", ""- SHANE:"", ""You got gas money?"", ""- How much?"", ""- Twenty bucks."", ""- Oh, I'm not going very far."", ""Twenty bucks.""]"
"I'm as sure as I can be, not looking at the bodies.","Jag är så säker jag kan vara, inte titta på kropparna.","Jag är så säker man kan bli, utan att titta på kropparna",Jag är så säker jag kan vara utan att se kropparna.,"[""DIR"", ""GR"", ""BET""]",True,"[""Can you fax it?"", ""212-555-8342."", ""Yeah, all right."", ""Thanks."", ""He's faxing it."", ""Call Sheriff's Homicide in LA."", ""Lead investigator's name is Sam white."", ""They're not as friendly in Los Angeles."", ""Too much sun makes 'em crazy."", ""Am I sure it's a similar case?""]"
Just a lot of phone numbers on scraps of paper.,Bara en massa telefonnummer på pappersskrot.,Bara en massa telefonnummer på papperslappar,Bara en massa telefonnummer på papperslappar.,"[""LF"", ""BET""]",True,"[""He's faxing it."", ""Call Sheriff's Homicide in LA."", ""Lead investigator's name is Sam white."", ""They're not as friendly in Los Angeles."", ""Too much sun makes 'em crazy."", ""Am I sure it's a similar case?"", ""I'm as sure as I can be, not looking at the bodies."", ""Right."", ""Mm-hmm."", ""The victim had no address book.""]"
"What do you think we're doing, getting cats out of trees?","Vad tror du att vi gör, att få ut katter ur träd?","Vad tror du att vi gör, tar ner katter från träd?","Vad tror du vi gör, räddar katter ur träd?","[""GR"", ""PR""]",True,"[""Too much sun makes 'em crazy."", ""Am I sure it's a similar case?"", ""I'm as sure as I can be, not looking at the bodies."", ""Right."", ""Mm-hmm."", ""The victim had no address book."", ""Just a lot of phone numbers on scraps of paper."", ""Copies?"", ""Oh, an open homicide investigation?"", ""!""]"
"Look, we link the victims, we got a case, okay?","Om vi kopplar ihop offren, så har vi ett fall.","Kolla, vi kopplar ihop offren, vi får ett fall, okej?","Hör du, om vi kopplar offren har vi ett case, okej?","[""SAK"", ""SEM""]",False,"[""Am I sure it's a similar case?"", ""I'm as sure as I can be, not looking at the bodies."", ""Right."", ""Mm-hmm."", ""The victim had no address book."", ""Just a lot of phone numbers on scraps of paper."", ""Copies?"", ""Oh, an open homicide investigation?"", ""!"", ""What do you think we're doing, getting cats out of trees?""]"
"Just fax us whatever you got, okay?","Bara faxa oss vad du än har, okej?","Bara faxa oss det du har, okej?","Bara faxa oss vad ni har, okej?","[""SEM""]",True,"[""Mm-hmm."", ""The victim had no address book."", ""Just a lot of phone numbers on scraps of paper."", ""Copies?"", ""Oh, an open homicide investigation?"", ""!"", ""What do you think we're doing, getting cats out of trees?"", ""Look, we link the victims, we got a case, okay?"", ""Now if you can just send us..."", ""Nobody's asking for the originals!""]"
In an open investigation we do not release evidence under any circumstances.,I en öppen utredning släpper vi inte under några omständigheter ut bevis.,I en pågående utredning lämnar vi inte ut bevisning under några omständigheter,I en pågående utredning lämnar vi inte ut bevis under några omständigheter.,"[""ST"", ""GR"", ""PR""]",False,"[""Copies?"", ""Oh, an open homicide investigation?"", ""!"", ""What do you think we're doing, getting cats out of trees?"", ""Look, we link the victims, we got a case, okay?"", ""Now if you can just send us..."", ""Nobody's asking for the originals!"", ""Just fax us whatever you got, okay?"", ""What?"", ""Fax you, okay?""]"
You know how some people gotta give you a hard time just to feel like they're alive.,Du vet hur vissa människor måste göra det svårt för dig bara för att känna att de lever.,Du vet hur vissa människor måste göra det svårt för andra bara för att få känna att de lever,Du vet hur vissa måste jävlas med dig bara för att känna sig levande.,"[""SEM""]",False,"[""Oh, an open homicide investigation?"", ""!"", ""What do you think we're doing, getting cats out of trees?"", ""Look, we link the victims, we got a case, okay?"", ""Now if you can just send us..."", ""Nobody's asking for the originals!"", ""Just fax us whatever you got, okay?"", ""What?"", ""Fax you, okay?"", ""\""In an open investigation we do not release evidence under any circumstances.\""""]"
Let's give 'em a hard time back.,Låt oss ge dem en tuff tid tillbaka.,Då gör vi det svårt för dem också,Låt oss jävlas tillbaka.,"[""DIR"", ""SEM"", ""PR""]",False,"[""!"", ""What do you think we're doing, getting cats out of trees?"", ""Look, we link the victims, we got a case, okay?"", ""Now if you can just send us..."", ""Nobody's asking for the originals!"", ""Just fax us whatever you got, okay?"", ""What?"", ""Fax you, okay?"", ""\""In an open investigation we do not release evidence under any circumstances.\"""", ""You know how some people gotta give you a hard time just to feel like they're alive.""]"
Detective Logan has... been under a little pressure on this case.,Inspektör Logan har varit pressad på det här fallet.,Inspektör Logan har... Varit under en del press i det här fallet,Detektiv Logan har… varit under lite press i det här fallet.,"[""SAK"", ""SEM""]",True,"[""\""In an open investigation we do not release evidence under any circumstances.\"""", ""You know how some people gotta give you a hard time just to feel like they're alive."", ""Let's give 'em a hard time back."", ""Look, do they want an arrest or what?"", ""You put the fire out and I'll settle this thing."", ""Yes."", ""Yes, Captain."", ""Mm-hmm."", ""Yeah, if it's their collar."", ""Of course we understand.""]"
Pressure?,Tryck?,Press?,Press?,"[""SEM""]",True,"[""You know how some people gotta give you a hard time just to feel like they're alive."", ""Let's give 'em a hard time back."", ""Look, do they want an arrest or what?"", ""You put the fire out and I'll settle this thing."", ""Yes."", ""Yes, Captain."", ""Mm-hmm."", ""Yeah, if it's their collar."", ""Of course we understand."", ""Detective Logan has... been under a little pressure on this case.""]"
You can cross out Jack E. In San Francisco.,Du kan stryka ut Jack E. I San Francisco.,Du kan stryka Jack E. I San Francisco,Du kan stryka Jack E. I San Fransisco,"[""DIR"", ""SEM""]",True,"[""Uh-huh."", ""Yeah."", ""No, no, no."", ""Thank you, Captain."", ""You believe that?"", ""They don't want to lose even a copy of this stuff."", ""What's with them?"", ""You know, fellas, at what this courier is going to cost the city,"", ""I hope this works."", ""You can cross out""]"
Bust the door and then stand back.,Bust dörren och sedan tillbaka.,Slå in dörren och vänta kvar,Bryt upp dörren och backa sen.,"[""SAK"", ""BET""]",False,"[""New York."", ""Same number."", ""You got the odds on three murder victims knowing the same guy?"", ""He was in San Francisco and LA when the others were killed."", ""Same days?"", ""And one on either side."", ""And all three of them had his name in their address book?"", ""Not to mention Bobby Holland's new boyfriend's name is Jack."", ""Enough?"", ""Pick him up.""]"
You're under arrest for the murder of Bobby Holland!,Du är arresterad för mordet på Bobby Holland!,Du är gripen för mordet på Bobby Holland!,Du är gripen för mordet på Bobby Holland!,"[""ST"", ""PR""]",True,"[""My partner and I will go in first."", ""It's our collar."", ""That's funny."", ""I figured Def Leppard."", ""Maybe Motley Cr e."", ""Ready?"", ""Go."", ""Police!"", ""which one of you is Jack Curry?"", ""I'm Jack Curry.""]"
Put your hands on your head!,Händerna på huvudet!,Lägg händerna på huvudet!,Händerna på huvudet!,"[""SAK""]",True,"[""It's our collar."", ""That's funny."", ""I figured Def Leppard."", ""Maybe Motley Cr e."", ""Ready?"", ""Go."", ""Police!"", ""which one of you is Jack Curry?"", ""I'm Jack Curry."", ""You're under arrest for the murder of Bobby Holland!""]"
You have the right to remain silent.,Du har rätt att vara tyst.,Du har rätt att förbli tyst.,Du har rätt att tiga.,"[""ST"", ""PR""]",False,"[""What?"", ""I-I didn't do anything!"", ""This is a big mistake."", ""Your wife turned you in."", ""Hands behind your back."", ""- Daddy!"", ""- H-Hold on."", ""What are you doing?"", ""We're taking her back to her mother."", ""My wife is a liar.""]"
"If you cannot afford an attorney, one will be provided for you at no cost.","Om du inte har råd med en advokat, får du en utan kostnad.",Om du inte har råd med juridiskt ombud kommer du tillhandahållas sådan på statens bekostnad,Om du inte har råd med en advokat kommer du att få en utan kostnad.,"[""ST"", ""PR""]",False,"[""Put your hands on your head!"", ""But I didn't- Now!"", ""Check it out."", ""Get up!"", ""Spread your legs!"", ""You have the right to remain silent."", ""Anything you say may be used against you in a court of law."", ""Hands down!"", ""Get your hand down!"", ""You have the right to an attorney.""]"
Great. what?,Bra. Vad?,Toppen. Va?,Bra. Vad?,"[""SEM""]",False,"[""Spread your legs!"", ""You have the right to remain silent."", ""Anything you say may be used against you in a court of law."", ""Hands down!"", ""Get your hand down!"", ""You have the right to an attorney."", ""If you cannot afford an attorney, one will be provided for you at no cost."", ""Let's go."", ""His lawyer's already here."", ""Julia DeBakey.""]"
Probably the toughest civil rights lawyer since william Kunstler.,Förmodligen den tuffaste medborgarrättsadvokaten sedan William Kunstler.,Förmodligen den mest ihärdiga civilrättsadvokaten sedan William Kunstler,Förmodligen den tuffaste medborgarrättsadvokaten sedan William Kunstler.,"[""ST"", ""SEM"", ""PR""]",False,"[""Anything you say may be used against you in a court of law."", ""Hands down!"", ""Get your hand down!"", ""You have the right to an attorney."", ""If you cannot afford an attorney, one will be provided for you at no cost."", ""Let's go."", ""His lawyer's already here."", ""Julia DeBakey."", ""Great. what?"", ""who's she?""]"
"Counselor, this case, it isn't exactly your ballgame.","Advokaten, det här fallet är inte precis ditt spel.","Det här fallet, det är inte riktigt din hemmaplan.","Advokat, det här fallet är inte riktigt din hemmaplan.","[""SL"", ""SAK"", ""SEM""]",True,"[""His lawyer's already here."", ""Julia DeBakey."", ""Great. what?"", ""who's she?"", ""Probably the toughest civil rights lawyer since william Kunstler."", ""Paul Robinette."", ""Julia DeBakey."", ""Your cops put my client in a holding cell with a bunch of drug addicts."", ""Jeez, we tried to get him a private suite."", ""Eh, he looks like he survived.""]"
"Oh, how wrong you are, Mr. Robinette.","Åh, hur fel du är, Mr Robinette.","Oj, så fel du har, Herr Robinette.","Åh, så fel du har, herr Robinette.","[""DIR"", ""BET""]",True,"[""Julia DeBakey."", ""Great. what?"", ""who's she?"", ""Probably the toughest civil rights lawyer since william Kunstler."", ""Paul Robinette."", ""Julia DeBakey."", ""Your cops put my client in a holding cell with a bunch of drug addicts."", ""Jeez, we tried to get him a private suite."", ""Eh, he looks like he survived."", ""Counselor, this case, it isn't exactly your ballgame.""]"
We're building a whole new ballpark with this one.,Vi bygger en helt ny bollpark med den här.,Vi bygger en helt ny hemmaplan med det här.,Vi bygger en helt ny arena med det här.,"[""SL"", ""DIR"", ""BET""]",False,"[""Great. what?"", ""who's she?"", ""Probably the toughest civil rights lawyer since william Kunstler."", ""Paul Robinette."", ""Julia DeBakey."", ""Your cops put my client in a holding cell with a bunch of drug addicts."", ""Jeez, we tried to get him a private suite."", ""Eh, he looks like he survived."", ""Counselor, this case, it isn't exactly your ballgame."", ""Oh, howwrong you are, Mr. Robinette.""]"
To thank me for helping him to shoot himself.,Tack för att jag hjälpte honom att skjuta sig själv.,Som tack för att jag hjälpte honom skjuta sig själv.,För att tacka mig för att jag hjälpte honom att skjuta sig själv.,"[""SAK"", ""BET"", ""PR""]",False,"[""Jeez, we tried to get him a private suite."", ""Eh, he looks like he survived."", ""Counselor, this case, it isn't exactly your ballgame."", ""Oh, howwrong you are, Mr. Robinette."", ""We're building a whole new ballpark with this one."", ""I'll allow my client to answer questions but I may cut this off at any time."", ""Let's start with the wristwatch, Jack."", ""Engraved to Bobby Holland on the back."", ""Bobby gave it to me as a present."", ""Just before you blew his head off?""]"
You want to run that by us again.,Du vill berätta det för oss igen.,Kan du ta det där igen,Vill du köra det där för oss en gång till?,"[""GR"", ""SEM"", ""PR""]",False,"[""Eh, he looks like he survived."", ""Counselor, this case, it isn't exactly your ballgame."", ""Oh, howwrong you are, Mr. Robinette."", ""We're building a whole new ballpark with this one."", ""I'll allow my client to answer questions but I may cut this off at any time."", ""Let's start with the wristwatch, Jack."", ""Engraved to Bobby Holland on the back."", ""Bobby gave it to me as a present."", ""Just before you blew his head off?"", ""To thank me for helping him to shoot himself.""]"
And when you went to visit Uncle Joe in Los Angeles?,Och när du besökte farbror Joe i Los Angeles?,Och när du åkte och besökte farbror Joe i Los Angeles?,Och när du åkte och hälsade på farbror Joe i Los Angeles?,"[""SAK"", ""SEM""]",True,"[""I'll allow my client to answer questions but I may cut this off at any time."", ""Let's start with the wristwatch, Jack."", ""Engraved to Bobby Holland on the back."", ""Bobby gave it to me as a present."", ""Just before you blew his head off?"", ""To thank me for helping him to shoot himself."", ""You want to run that by us again."", ""Bobby wanted help- to commit suicide."", ""Look, he had AIDS."", ""He wanted it to look like a robbery so his mother wouldn't know.""]"
Look... if you commit suicide you don't get the insurance.,Om du begår självmord får du inte försäkringen.,Alltså/så här va... Begår man självmord så får man inte ut någonting på försäkringen.,Hör här… om du begår självmord får du inte ut försäkringen.,"[""SAK"", ""SEM""]",False,"[""Bobby gave it to me as a present."", ""Just before you blew his head off?"", ""To thank me for helping him to shoot himself."", ""You want to run that by us again."", ""Bobby wanted help- to commit suicide."", ""Look, he had AIDS."", ""He wanted it to look like a robbery so his mother wouldn't know."", ""And when you went to visit Uncle Joe in Los Angeles?"", ""And Aunt Millie in San Francisco?"", ""You know about them?""]"
"Yes, they pulled the triggers themselves.","Ja, de tryckte på avtryckarna själva.","Ja, de avlossade skottet själva.","Ja, de tryckte av själva.","[""SEM""]",True,"[""Bobby wanted help- to commit suicide."", ""Look, he had AIDS."", ""He wanted it to look like a robbery so his mother wouldn't know."", ""And when you went to visit Uncle Joe in Los Angeles?"", ""And Aunt Millie in San Francisco?"", ""You know about them?"", ""Look... if you commit suicide you don't get the insurance."", ""Those men..."", ""Forest?"", ""Dodge?""]"
What it's like when you can't breathe?,Hur är det när man inte kan andas?,Hur det är att inte kunna andas?,Vet du hur det känns när man inte kan andas?,"[""GR"", ""SEM""]",False,"[""Those men..."", ""Forest?"", ""Dodge?"", ""Yes, they pulled the triggers themselves."", ""And you just wipe the gun clean?"", ""My client has nothing to say about those cases."", ""What about Bobby Holland?"", ""Do you know what AIDS looks like?"", ""Have you seen Kaposi's Sarcoma?"", ""Do you know what pneumocystis does?""]"
The last month of his life he forgot how to tell the time.,Den sista månaden i hans liv glömde han hur man talar om tiden.,Under sin sista månad i livet glömde han bort hur man läser av klockan.,Den sista månaden av sitt liv glömde han hur man skulle se vad klockan var.,"[""SEM"", ""PR""]",False,"[""And you just wipe the gun clean?"", ""My client has nothing to say about those cases."", ""What about Bobby Holland?"", ""Do you know what AIDS looks like?"", ""Have you seen Kaposi's Sarcoma?"", ""Do you know what pneumocystis does?"", ""What it's like when you can't breathe?"", ""Dodge won a silver metal in Seoul."", ""Forest, used to be a professor out at UCLA,"", ""PhD in Linguistics.""]"
Bobby didn't want to waste away.,Bobby ville inte slösa bort.,Bobby ville inte tyna bort.,Bobby ville inte tyna bort.,"[""LF"", ""BET""]",True,"[""What about Bobby Holland?"", ""Do you know what AIDS looks like?"", ""Have you seen Kaposi's Sarcoma?"", ""Do you know what pneumocystis does?"", ""What it's like when you can't breathe?"", ""Dodge won a silver metal in Seoul."", ""Forest, used to be a professor out at UCLA,"", ""PhD in Linguistics."", ""The last month of his life he forgot how to tell the time."", ""Did you shoot Bobby Holland?""]"
Bobby wrapped his hand around mine.,Bobby virade sin hand runt min.,Bobby la sin hand runt min.,Bobby slöt sin hand om min.,"[""DIR"", ""SEM""]",True,"[""Do you know what pneumocystis does?"", ""What it's like when you can't breathe?"", ""Dodge won a silver metal in Seoul."", ""Forest, used to be a professor out at UCLA,"", ""PhD in Linguistics."", ""The last month of his life he forgot how to tell the time."", ""Did you shoot Bobby Holland?"", ""Bobby didn't want to waste away."", ""Who pulled the trigger?"", ""I held the gun.""]"
I helped Bobby do what he wanted.,Jag hjälpte Bobby att göra som han ville.,Jag hjälpte Bobby göra det han ville.,Jag hjälpte Bobby göra det han ville.,"[""SEM""]",True,"[""Dodge won a silver metal in Seoul."", ""Forest, used to be a professor out at UCLA,"", ""PhD in Linguistics."", ""The last month of his life he forgot how to tell the time."", ""Did you shoot Bobby Holland?"", ""Bobby didn't want to waste away."", ""Who pulled the trigger?"", ""I held the gun."", ""Bobby wrapped his hand around mine."", ""He said he wanted to die.""]"
It's called Mercy Killing.,Det kallas Mercy Killing.,Det kallas barmhärtighetsmord,Det kallas barmhärtighetsdöd.,"[""SAK"", ""BET""]",False,"[""PhD in Linguistics."", ""The last month of his life he forgot how to tell the time."", ""Did you shoot Bobby Holland?"", ""Bobby didn't want to waste away."", ""Who pulled the trigger?"", ""I held the gun."", ""Bobby wrapped his hand around mine."", ""He said he wanted to die."", ""I helped Bobby do what he wanted."", ""I didn't- I didn't wanna do it, but I wasn't considering myself.""]"
