english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_comparison,gpt_error_tags,explanation,problem_description,gpt_comparison_comment,reviewer_suggestion,legacy_tags,context_5,context_10
"Would you sign for them, please?","Kan du skriva på för dem, tack?","Skulle du kunna skriva på för dem, tack?","Vill du kvittera för dem, tack?",['PR'],LLM WORSE,['PR'],Syftar till att be om signatur för paket,Would = skulle + behövs hjälpverb,"(O) - ""Kvittera"" lite för formellt. ""Skriva på"" passar bättre.",,Ordval,"[""I've no more children."" ""And nowwe've lost him.""
 'We lost him when he moved over the bridge.' 'Personal possessions.'
 'Things they found on him when he was brought in.']","['brothers?' 'Sisters?' ""After Bobby, we didn't have anymore.""
 'He was a very difficult birth.' ""I'm- I had... well, there was just...""
 ""I've no more children."" ""And nowwe've lost him.""
 'We lost him when he moved over the bridge.' 'Personal possessions.'
 'Things they found on him when he was brought in.']"
"High school graduation, it cost me a week's pay.",Högskoleexamen kostade mig en veckas lön.,"Studentexamen, det kostade mig en veckas lön","Studentexamen, det kostade mig en veckolön.",['SAK' 'LF' 'BET'],LLM OK,[],Syftar till att köpa något till sin studentexamen och att det var dyrt,Graduation = studentexamen. Punktuation,(O) - LLM funkar lika bra.,,"Ordval, Grammatiskt","['Things they found on him when he was brought in.'
 'Would you sign for them, please?' 'Took the watch, huh?'
 'An Omega, big heavy job.' 'Steel.']","[""I'm- I had... well, there was just..."" ""I've no more children.""
 ""And nowwe've lost him."" 'We lost him when he moved over the bridge.'
 'Personal possessions.'
 'Things they found on him when he was brought in.'
 'Would you sign for them, please?' 'Took the watch, huh?'
 'An Omega, big heavy job.' 'Steel.']"
"I told him, ""Keep it next to the bed.""","Jag sa: ""Håll den bredvid sängen.""","Jag sa till honom: ""Ha den vid sängen""",Jag sa åt honom: ”Ha den bredvid sängen.”,['SAK' 'SEM'],LLM OK,[],Syftar till att ha sagt åt någon att förvara sin pistol nära till hands vid sängen,Saknas ord. Anpassning och omformulering efter svensk formulering och språkkänsla,(O) - LLM funkar lika bra,,"Ordval, betydelseförlust","['Steel, too.' 'He wore it to work without worry.'
 'When he first moved to the city I bought him a gun.' 'A pistol?'
 'A.38, it was licensed.']","['Steel.' ""High school graduation, it cost me a week's pay."" 'The band?'
 'It had links.' 'Tight.' 'Steel, too.'
 'He wore it to work without worry.'
 'When he first moved to the city I bought him a gun.' 'A pistol?'
 'A.38, it was licensed.']"
Bobby didn't cat around.,Bobby var inte ute och lekte.,Bobby låg inte runt,Bobby låg inte runt.,['SL' 'LF' 'BET'],LLM OK,[],Syftar till att berätta om att Bobby inte var en person som hade många sexuella relationer,Idiomatiskt uttryck som inte har svensk motsvarighet och kräver anpassning med liknande uttryck,,,"Idiomatiskt, betydelseförlust","['Right there!' 'Hold up!' 'I hope to God you get who did it.'
 'Bobby was a good man.' 'Women problems?']","['You got something better?'
 'Maybe you should go out, shake up the ground a little, see who he knew.'
 'Drop that rope!' 'Mark it down-side off.' 'Whoa, whoa, whoa!'
 'Right there!' 'Hold up!' 'I hope to God you get who did it.'
 'Bobby was a good man.' 'Women problems?']"
Bobby Holland hang out after work?,Bobby Holland umgås efter jobbet?,Brukade Bobby Holland hänga efter jobbet?,Hängde Bobby Holland efter jobbet?,['GR' 'SEM'],LLM WORSE,['SEM' 'PR'],Syftar till att fråga om Bobby brukade vara social och spendera tid på en plats efter jobbet,"""Hang out"" kräver omstrukturering av mening efter svensk språkanvändning","(O) - LLM funkar okej, men AÖ är tydligare",,"Semantiskt, grammatiskt","['Bobby was a good man.' 'Women problems?' ""Bobby didn't cat around.""
 'Gamble?' 'Not even a football pool.']","['Mark it down-side off.' 'Whoa, whoa, whoa!' 'Right there!' 'Hold up!'
 'I hope to God you get who did it.' 'Bobby was a good man.'
 'Women problems?' ""Bobby didn't cat around."" 'Gamble?'
 'Not even a football pool.']"
Didn't even come to union meetings.,Jag kom inte ens till fackmötena.,Kom inte ens på fackmötena,Kom inte ens på fackmöten.,['ADD' 'BET' 'PR'],LLM OK,[],Syftar till att kommentera att en annan person inte dök upp på tillställningar – inte ens fackmöten,"Felaktigt att använda ""jag"" då det handlar om en annan person – Skippa vem då det inte anges i talspråket. Anpassning efter svenska",(O) - LLM funkar lika bra,,"Grammatiskt, Ordval","['Women problems?' ""Bobby didn't cat around."" 'Gamble?'
 'Not even a football pool.' 'Bobby Holland hang out after work?']","['Whoa, whoa, whoa!' 'Right there!' 'Hold up!'
 'I hope to God you get who did it.' 'Bobby was a good man.'
 'Women problems?' ""Bobby didn't cat around."" 'Gamble?'
 'Not even a football pool.' 'Bobby Holland hang out after work?']"
Sometimes they had lunch together.,Ibland åt de lunch tillsammans.,Ibland lunchade de ihop,Ibland åt de lunch tillsammans.,['PR'],LLM OK,[],Syftar till att två personer ibland träffades för att luncha ihop,Anpassning efter svensk norm och språkkänsla.,(O) - LLM funkar lika bra.,,Ordval,"['Bobby Holland hang out after work?'
 ""Didn't even come to union meetings.""
 'Mr. Massacio, come on, he must have hung out with somebody.'
 'Go ask Suarez...' 'Angel.']","['Bobby was a good man.' 'Women problems?' ""Bobby didn't cat around.""
 'Gamble?' 'Not even a football pool.'
 'Bobby Holland hang out after work?'
 ""Didn't even come to union meetings.""
 'Mr. Massacio, come on, he must have hung out with somebody.'
 'Go ask Suarez...' 'Angel.']"
I already heard about Bobby.,Jag har redan hört talas om Bobby.,Jag har redan hört om Bobby,Jag hade redan hört om Bobby.,['ADD' 'SEM'],LLM WORSE,['GR' 'SEM'],Syftar till att man redan hört att Bobby gått bort,"Felaktig översättning. ""Heard"" = ""hört""","(O) - ""Hade"" blir fel i detta sammanhang.",,"Ordval, semantiskt, betydelseförlust","['Sometimes they had lunch together.' 'Thanks.' 'Angel Suarez?'
 'Detective Logan.' 'Sergeant Greevey.']","['Bobby Holland hang out after work?'
 ""Didn't even come to union meetings.""
 'Mr. Massacio, come on, he must have hung out with somebody.'
 'Go ask Suarez...' 'Angel.' 'Sometimes they had lunch together.'
 'Thanks.' 'Angel Suarez?' 'Detective Logan.' 'Sergeant Greevey.']"
"Real broken up, huh?","Verkligen gjort slut, va?","Riktigt uppriven, va?","Riktigt knäckt, va?",['SL' 'LF' 'BET'],LLM OK,[],Syftar till att sarkastisk fråga om personen verkligen mår dåligt över något,"Idiomatiskt uttryck som kräver anpassning efter kontext. ""Broken up"" = ""uppriven""",(O) - LLM funkar lika bra,,"Idiomatiskt, betydelseförlust","['Detective Logan.' 'Sergeant Greevey.' 'I already heard about Bobby.'
 'Were you a friend of his?' 'I knew him.']","['Go ask Suarez...' 'Angel.' 'Sometimes they had lunch together.'
 'Thanks.' 'Angel Suarez?' 'Detective Logan.' 'Sergeant Greevey.'
 'I already heard about Bobby.' 'Were you a friend of his?' 'I knew him.']"
Where were you Saturday night?,Var var du på lördag kväll?,Var befann du dig under lördagskvällen?,Var var du lördag kväll?,['GR' 'ST'],LLM OK,[],Syftar till att fråga var någon fysiskt befann sig under en viss lördagskväll,Anpassning efter svensk grammatik och språkkänsla.,(O) - LLM funkar lika bra,,"Ordval, Grammatiskt","['I already heard about Bobby.' 'Were you a friend of his?' 'I knew him.'
 'Real broken up, huh?' ""If I knew who did him I'd let you know.""]","['Sometimes they had lunch together.' 'Thanks.' 'Angel Suarez?'
 'Detective Logan.' 'Sergeant Greevey.' 'I already heard about Bobby.'
 'Were you a friend of his?' 'I knew him.' 'Real broken up, huh?'
 ""If I knew who did him I'd let you know.""]"
"We're talking murder, here.",Vi pratar om mord.,Vi talar om mord här.,Vi pratar mord här.,['SAK' 'SEM'],LLM WORSE,['PR'],Syftar till att betona allvaret i att konversationen och situationen handlar om att ett mord har utförts,Saknas ord. Anpassning och omformulering efter svensk formulering och språkkänsla,(O) - LLM funkar lika bra,,"Semantiskt, betydelseförlust","[""If I knew who did him I'd let you know.""
 'Where were you Saturday night?' 'In San Juan, visiting my parents.'
 'I got back Sunday night.' 'You want to see my plane ticket?']","['Sergeant Greevey.' 'I already heard about Bobby.'
 'Were you a friend of his?' 'I knew him.' 'Real broken up, huh?'
 ""If I knew who did him I'd let you know.""
 'Where were you Saturday night?' 'In San Juan, visiting my parents.'
 'I got back Sunday night.' 'You want to see my plane ticket?']"
"If you guys find the killer and wanna save the state the price of a trial, gimme a call.",Hittar ni mördaren och vill rädda staten så ring mig.,"Om ni killar hittar mördaren och vill bespara staten kostnaden för en rättegång, slå mig en signal","Om ni hittar mördaren och vill spara staten kostnaden för en rättegång, ring mig.",['SAK' 'BET' 'SEM'],LLM WORSE,['SAK' 'SEM'],Syftar till att kommunicera till poliser att om de hittar mördaren kan han se till att denne får sitt straff utan rättegång,Saknas ord. Anpassning och omformulering efter svensk formulering och språkkänsla,(O) - LLM utelämnar förtydligande ord och innehåller lite tveksam grammatik.,,"Ordval, betydelseförlust","['I got back Sunday night.' 'You want to see my plane ticket?'
 ""We're talking murder, here.""
 'Look, the night Bobby got it he was having a drink with a friend- Lois Rivera.'
 'She has a gourmet sandwich cart on the Upper west Side.']","['I knew him.' 'Real broken up, huh?'
 ""If I knew who did him I'd let you know.""
 'Where were you Saturday night?' 'In San Juan, visiting my parents.'
 'I got back Sunday night.' 'You want to see my plane ticket?'
 ""We're talking murder, here.""
 'Look, the night Bobby got it he was having a drink with a friend- Lois Rivera.'
 'She has a gourmet sandwich cart on the Upper west Side.']"
"That night, before I met my sister, I had a drink with Bobby.","Den kvällen, innan jag träffade min syster, Jag tog en drink med Bobby.","Den kvällen, innan jag träffade min syster, tog jag en drink med Bobby.","Den kvällen, innan jag träffade min syster, tog jag en drink med Bobby.",['GR'],LLM OK,[],Syftar till att berätta vad man gjorde en viss kväll – tog en drink med Bobby innan träff med syster,Felaktig ordföljd i bisats,,,Ordföljd,"[""We're talking murder, here.""
 'Look, the night Bobby got it he was having a drink with a friend- Lois Rivera.'
 'She has a gourmet sandwich cart on the Upper west Side.'
 'If you guys find the killer and wanna save the state the price of a trial, gimme a call.'
 'Thanks.']","[""If I knew who did him I'd let you know.""
 'Where were you Saturday night?' 'In San Juan, visiting my parents.'
 'I got back Sunday night.' 'You want to see my plane ticket?'
 ""We're talking murder, here.""
 'Look, the night Bobby got it he was having a drink with a friend- Lois Rivera.'
 'She has a gourmet sandwich cart on the Upper west Side.'
 'If you guys find the killer and wanna save the state the price of a trial, gimme a call.'
 'Thanks.']"
Anybody want to hurt him?,Någon som vill skada honom?,Någon som ville skada honom?,Ville någon skada honom?,['GR'],LLM OK,[],Syftar till att fråga om någon ville Bobby illa,Problematisk talspråklig fras som egentligen syftar till dåtid. Anpassning genom tempus,(O) - LLM funkar lika bra,,Grammatiskt,"['I just told him he should go back to school.' 'City College, part-time.'
 'Bobby was real smart.' 'He knew a lot about music.'
 'He read a lot of books.']","['If you guys find the killer and wanna save the state the price of a trial, gimme a call.'
 'Thanks.' 'That night, before I met my sister,'
 'I had a drink with Bobby.' 'We talked a while about nothing really.'
 'I just told him he should go back to school.' 'City College, part-time.'
 'Bobby was real smart.' 'He knew a lot about music.'
 'He read a lot of books.']"
"Look, I really wasn't Bobby's girl.",Jag var inte Bobbys tjej.,"Hör du, jag var verkligen inte Bobbys tjej.","Hör du, jag var egentligen inte Bobbys tjej.",['SAK' 'SEM'],LLM OK,[],Syftar till att betona att man verkligen inte hade en romantisk relation med Bobby,Saknas ord.,"(O) - Föredrar ""hör du"" över ""kolla"" i detta fallet, men tycker ""verkligen"" passar bättre i denna kontext.","Hör du, jag var verkligen inte Bobbys tjej.","Ordval, betydelseförlust","[""Where'd he go after he left you?"" ""It's Lois, right?"" 'Listen.'
 ""Somebody blew your boyfriend's brains out with a. 38, okay?""
 'He went to a bar downtown, Paradise Lost.']","['He knew a lot about music.' 'He read a lot of books.'
 'Anybody want to hurt him?' 'No.' 'Nobody I could think of.'
 ""Where'd he go after he left you?"" ""It's Lois, right?"" 'Listen.'
 ""Somebody blew your boyfriend's brains out with a. 38, okay?""
 'He went to a bar downtown, Paradise Lost.']"
The kind of crowd we get.,Den typ av publik vi får.,Den sortens folk vi får,Typen av publik vi får.,['SL' 'LF' 'BET'],LLM WORSE,['SL' 'DIR' 'SEM'],"Syftar till att, efter att ha gett tydliga exempel, betona att det är den typen av klientel ens verksamhet generellt har","""Crowd"" = ""folk"" (besökare). Anpassning efter svensk språkkänsla",(O) - Se problembeskrivning/åtgärd,,"Semantiskt, betydelseförlust","['He went to a bar downtown, Paradise Lost.'
 ""Look, I really wasn't Bobby's girl."" 'Just a good friend.'
 'Bobby was gay.' ""You couldn't miss the Why not?""]","['Nobody I could think of.' ""Where'd he go after he left you?""
 ""It's Lois, right?"" 'Listen.'
 ""Somebody blew your boyfriend's brains out with a. 38, okay?""
 'He went to a bar downtown, Paradise Lost.'
 ""Look, I really wasn't Bobby's girl."" 'Just a good friend.'
 'Bobby was gay.' ""You couldn't miss the Why not?""]"
Easy mix.,Lätt blandning.,Salig blandning,Enkel blandning.,['SL' 'SEM'],LLM WORSE,['SL' 'DIR' 'BET'],Syftar till att det förekommer en spridning i förekomst,Idiomatiskt uttryck som har svensk motsvarighet och bör tillämpas,(O) - LLM missar innebörd.,,Idiomatiskt,"[""You couldn't miss the Why not?"" 'The kind of crowd we get.'
 'You know, average guys.' 'Construction workers.'
 'Grad students from NYU.']","[""Somebody blew your boyfriend's brains out with a. 38, okay?""
 'He went to a bar downtown, Paradise Lost.'
 ""Look, I really wasn't Bobby's girl."" 'Just a good friend.'
 'Bobby was gay.' ""You couldn't miss the Why not?""
 'The kind of crowd we get.' 'You know, average guys.'
 'Construction workers.' 'Grad students from NYU.']"
So here's this character dressed kind of charivari.,Så här är en karaktär klädd som karivari.,"Så har vi då den här figuren, klädd lite så ""charivari""","Så dyker den här figuren upp, klädd lite charivari.",['SAK' 'SEM'],LLM OK,[],syftar till att beskriva en besökare med en utstickande stil,Anpassat efter talspråk,"(O) - Tycker ""figur"" passar bättre här än ""karaktär"", men AÖ har en för talspråk mer passande meningsbyggnad.","Så har vi då den här figuren, klädd lite så ""charivari""","Semantiskt, ordval","['You know, average guys.' 'Construction workers.'
 'Grad students from NYU.' 'Easy mix.' 'Neighborhood.']","[""Look, I really wasn't Bobby's girl."" 'Just a good friend.'
 'Bobby was gay.' ""You couldn't miss the Why not?""
 'The kind of crowd we get.' 'You know, average guys.'
 'Construction workers.' 'Grad students from NYU.' 'Easy mix.'
 'Neighborhood.']"
"You know the look, ""I'm cool and you're not.""","Du vet hur det är: ""Jag är cool och det är du inte.""","Du vet looken, ""jag är cool och det är inte du""",Du vet stilen: ”Jag är cool och du är det inte.”,['GR' 'SEM' 'PR'],LLM WORSE,['GR' 'SEM'],Syftar till att förklara genom relaterbart exempel hur någons yttre kan få dem att framstå som en översittare,Anpassning genom mer ordagrann översättning. Ordföljd.,(O) - LLM funkar lika bra.,,"Idiomatiskt, ordval, ordföljd","['Grad students from NYU.' 'Easy mix.' 'Neighborhood.'
 ""So here's this character dressed kind of charivari.""
 'Black t-shirt, gray silk jacket.']","['Bobby was gay.' ""You couldn't miss the Why not?""
 'The kind of crowd we get.' 'You know, average guys.'
 'Construction workers.' 'Grad students from NYU.' 'Easy mix.'
 'Neighborhood.' ""So here's this character dressed kind of charivari.""
 'Black t-shirt, gray silk jacket.']"
"Bobby doesn't come in a lot, lately, more like after work for a Michelob.","Bobby kommer inte ofta, på sistone, mer som efter jobbet för en Michelob.","Bobby kommer inte hit ofta, på sistone, mer typ efter jobbet för en Michelob","Bobby kommer inte in så ofta numera, mer efter jobbet för en Michelob.",['SAK' 'LF' 'SEM'],LLM WORSE,['SAK' 'SEM'],"Syftar till att berätta att Bobby inte besökte platsen ofta, utan bara efter jobbet för att ta sig en drink",Anpassning med semantisk anspelning och svensk språkkänsla,"(O) - LLM funkar okej, men tycker AÖs användning av ""typ"" bidrar till att bättre fånga tonen i den ursprungliga frasen.",,"Grammatiskt, semantiskt","['Neighborhood.' ""So here's this character dressed kind of charivari.""
 'Black t-shirt, gray silk jacket.'
 'You know the look, ""I\'m cool and you\'re not.""'
 'You ever seen him with Holland before?']","['The kind of crowd we get.' 'You know, average guys.'
 'Construction workers.' 'Grad students from NYU.' 'Easy mix.'
 'Neighborhood.' ""So here's this character dressed kind of charivari.""
 'Black t-shirt, gray silk jacket.'
 'You know the look, ""I\'m cool and you\'re not.""'
 'You ever seen him with Holland before?']"
I thought he was a hustler.,Jag trodde att han var en skojare.,Jag trodde han var lurendrejare,Jag trodde han var en hustler.,['SEM' 'PR'],LLM WORSE,['PR'],syftar till att dela med sig av sin uppfattning av en person som en oärlig person som ägnar sig åt ohederliga aktiviteter,"""Hustler"" finns inte i svenskan, men i kontexten är det viktigt att lyfta att det handlar om oärlighet","(O) - Tycker LLM fungerar lika bra egentligen men är osäker på hur etablerat ordet ""hustler"" är bland svensktalande. AÖ mer etablerad och därför också tydligare.",,"Ordval, semantiskt","['You ever seen him with Holland before?'
 ""Bobby doesn't come in a lot, lately, more like after work for a Michelob.""
 'The silk jacket and Bobby were sitting over there.'
 ""Couldn't hear them, then they were gone.""
 'Silk jacket- want to know the truth?']","['Easy mix.' 'Neighborhood.'
 ""So here's this character dressed kind of charivari.""
 'Black t-shirt, gray silk jacket.'
 'You know the look, ""I\'m cool and you\'re not.""'
 'You ever seen him with Holland before?'
 ""Bobby doesn't come in a lot, lately, more like after work for a Michelob.""
 'The silk jacket and Bobby were sitting over there.'
 ""Couldn't hear them, then they were gone.""
 'Silk jacket- want to know the truth?']"
Something about him.,Något om honom.,Något med honom,Det var något med honom.,['SEM'],LLM OK,[],Syftar till att man tyckte det var något med personen som gav ett visst intryck,"""about"" = ""med"" i kontexten","(O) - Svårt att avgöra utifrån kontext om ""det var"" eller ""det är"" är korrekt i det här fallet. AÖ har likt originalmeningen utelämnat inledande verb vilket funkar,",,"Ordval, semantiskt","[""Bobby doesn't come in a lot, lately, more like after work for a Michelob.""
 'The silk jacket and Bobby were sitting over there.'
 ""Couldn't hear them, then they were gone.""
 'Silk jacket- want to know the truth?' 'I thought he was a hustler.']","['Neighborhood.' ""So here's this character dressed kind of charivari.""
 'Black t-shirt, gray silk jacket.'
 'You know the look, ""I\'m cool and you\'re not.""'
 'You ever seen him with Holland before?'
 ""Bobby doesn't come in a lot, lately, more like after work for a Michelob.""
 'The silk jacket and Bobby were sitting over there.'
 ""Couldn't hear them, then they were gone.""
 'Silk jacket- want to know the truth?' 'I thought he was a hustler.']"
Then trashes the place looking for something to take.,Sen förstörs stället och letar efter nåt att ta med sig.,Sen förstör han stället i jakt på något att ta,Sedan vandaliserar han stället i jakt på något att ta.,['SAK' 'LF' 'BET'],LLM WORSE,['SEM'],Syftar till att en person sedan river runt och förstör hemma hos någon i jakt på saker att stjäla,Någon förstör stället. Anpassning efter svensk fprmulering och språkkänsla,"(O) - Tycker ""förstör"" bättre motsvarar ""trashes"" än ""vandaliserar"".",,"Grammatiskt, ordval","['So he was rough trade.' 'So they do their thing.'
 'Mr. Silk Jacket does it all.' 'Sex.' 'Kills the guy.']","['Silk jacket- want to know the truth?' 'I thought he was a hustler.'
 'Something about him.' ""I don't know."" ""I don't know.""
 'So he was rough trade.' 'So they do their thing.'
 'Mr. Silk Jacket does it all.' 'Sex.' 'Kills the guy.']"
About as good as finding true love at Paradise Lost.,Ungefär lika bra som att finna sann kärlek i det förlorade paradiset.,Ungefär lika stor som att hitta kärleken i det förlorade paradiset,Ungefär lika troligt som att hitta sann kärlek i Paradise Lost.,['SEM'],LLM BETTER,[],"Syftar till att något har låg sannolikhet, genom populärkulturell referens","""About as good"" = ""ungefär lika bra"". ""True love"" brukar på svenska bara kallas ""kärleken""","(O) - Med tanke på versalerna i ""Paradise Lost"" tolkar jag det som ett platsnamn. Därför tänker jag att det ej ska översättas.",,"Semantiskt, idiomatiskt","['Mr. Silk Jacket does it all.' 'Sex.' 'Kills the guy.'
 'Then trashes the place looking for something to take.'
 'Yeah, and the odds on finding him?']","['Something about him.' ""I don't know."" ""I don't know.""
 'So he was rough trade.' 'So they do their thing.'
 'Mr. Silk Jacket does it all.' 'Sex.' 'Kills the guy.'
 'Then trashes the place looking for something to take.'
 'Yeah, and the odds on finding him?']"
They just fade in.,De bara bleknar in.,De bara smälter in,De bara tonar in.,['SEM'],LLM WORSE,['LF' 'BET'],Syftar till att något kan bli mindre synligt eller svårare att uppmärksamma – liknelse genom kontrast/kamoflering,Anpassning av ord efter kontext,(O) - LLM missar innebörd.,,Semantiskt,"['No way, man.' ""Department's got a special test.""
 ""They look you in the eye, if your left eye blinks before your right eye they know you're gay.""
 'They say one in 10, Max.' ""That's a lot.""]","['About as good as finding true love at Paradise Lost.' ""I don't know.""
 'His parents, his boss, his coworkers, his neighbors... no one knew this guy was gay.'
 ""They're out there, I don't see them either.""
 'Think a lot of cops are gay?' 'No way, man.'
 ""Department's got a special test.""
 ""They look you in the eye, if your left eye blinks before your right eye they know you're gay.""
 'They say one in 10, Max.' ""That's a lot.""]"
"Empty lot, six blocks away.","Tomma tomter, sex kvarter bort.","Ledig tomt, sex kvarter bort","Tom tomt, sex kvarter bort.",['GR' 'PR'],LLM BETTER,[],Syftar till att hänvisa till en tom markyta belägen sex kvarter bort,Singular. Anpassning efter svensk språkkänsla,"(O) - Tycker ""tom tomt"" blir mer korrekt, då en tomt kan vara bebyggd. Jag uppfattar det som att den ursprungliga meningen refererar till en obebyggd markyta, vilket LLMs mening specificerar.",,"Grammatiskt, ordval","['Silk Jacket?' ""Five to one he's not in any of these.""
 'Good news and bad news.'
 'The good news is somebody just walked in and confessed?'
 'The good news is they found the gun.']","[""Department's got a special test.""
 ""They look you in the eye, if your left eye blinks before your right eye they know you're gay.""
 'They say one in 10, Max.' ""That's a lot."" 'They just fade in.'
 'Silk Jacket?' ""Five to one he's not in any of these.""
 'Good news and bad news.'
 'The good news is somebody just walked in and confessed?'
 'The good news is they found the gun.']"
Bobby had everything going for him.,Bobby hade allt på gång för honom.,Det gick bra för Bobby,Bobby hade allt som talade för honom.,['DIR' 'SEM'],LLM WORSE,['DIR' 'LF' 'BET'],syftar till att beskriva Bobbys liv i positiv ton – att det gick bra,Idiomatiskt uttryck utan svensk motsvarighet som kräver anpassad översättning,(O) - LLM något tvetydig och mindre etablerad i vardagsspråk.,,"Idiomatiskt, grammatiskt","['""Playboy.""' 'My son was not homosexual!' 'She knows.'
 ""She just can't admit it."" 'Can you?']","['Bobby was always popular with the girls.'
 'He was a halfback on the football team.'
 'He was on the student council.' 'He was king of the prom.'
 'He hid his magazines under the mattress.' '""Playboy.""'
 'My son was not homosexual!' 'She knows.' ""She just can't admit it.""
 'Can you?']"
When he dropped his high school girlfriend...,När han tappade sin high school-flickvän...,När han dumpade sin tjej från gymnasiet...,När han gjorde slut med sin gymnasieflickvän…,['DIR' 'BET' 'PR'],LLM WORSE,['SEM'],Syftar till tidounkt pdå Bobby gjorde slut med tjejen han dejtade i skolan,"""dropped"" = ""DUMPADE"". Anpassning efter svensk kontext och formulering",(O) - AÖ fångar tonen från originalet bättre.,,"Semantiskt, ordval","['Can you?' 'Bobby had everything going for him.' 'Any girl he wanted.'
 'His friends would come over, hang out in the yard... just to be around him.'
 'Have him throw the football, like that.']","['He hid his magazines under the mattress.' '""Playboy.""'
 'My son was not homosexual!' 'She knows.' ""She just can't admit it.""
 'Can you?' 'Bobby had everything going for him.' 'Any girl he wanted.'
 'His friends would come over, hang out in the yard... just to be around him.'
 'Have him throw the football, like that.']"
Gorgeous.,Underbart.,Skitsnygg.,Ursnygg.,['GR' 'LF' 'SEM'],LLM OK,[],Syftar till en kvinnas vackra utseende,"""Gorgeous"" = ""läcker"" (mycket snygg/vacker)",(O) - LLM funkar lika bra.,Skitsnygg.,Semantiskt,"['Anyway, you guys are gonna love this.' 'So we were out the other night.'
 'Where did he take you?' 'Brulee.' 'Uh Nice.']","['Again?' 'The man ordered you up like a sandwich.'
 ""Ok, it's not like I'm sleeping with the guy."" ""We're just having fun.""
 ""At least it's stopping me from googling more bad reviews.""
 'Anyway, you guys are gonna love this.' 'So we were out the other night.'
 'Where did he take you?' 'Brulee.' 'Uh Nice.']"
Want to rub my nose in it?,Vill du gnugga näsan i den?,Vill du strö salt i såren?,Vill du gnida in det i ansiktet på mig?,['ID' 'DIR' 'BET'],LLM WORSE,['ID' 'DIR' 'SEM'],Syftar till att påminna eller trycka ner en person gällande en negativ incident eller förlust,Idiomatiskt uttryck med svensk motsvarighet som bör tillämpas,(O) - LLM missar idiomatisk innebörd.,,"Idiomatiskt, grammatiskt","['There\'s all kinds of loonies out there.""'
 ""That's- that's when I bought him the gun."" 'What about boyfriends?'
 'He ever tell you anything about any of them?' ""What'd I want to hear?""]","['He looked like everybody else.' 'He talked like everybody else.'
 'Do you know if he brought people home a lot?' 'I told him,'
 '""You don\'t knowwhat kind of nuts you\'re meeting.'
 'There\'s all kinds of loonies out there.""'
 ""That's- that's when I bought him the gun."" 'What about boyfriends?'
 'He ever tell you anything about any of them?' ""What'd I want to hear?""]"
He'd never believe it.,Han skulle aldrig tro det.,Han skulle aldrig tro på det.,Han skulle aldrig tro det.,['DIR' 'PR'],LLM OK,[],syftar till att en person aldrig hade trott på det om man hade sagt det till honom,Anpassning efter svensk språknorm och språkkänsla,"(O) - Tycker ""han skulle aldrig"" blir mer korrekt som motsvarighet till ""he'd"" (he would) än ""han hade aldrig"". Det sistnämnda hade varit mer korrekt om frasen varit ""he'd have never believed in it"". Tycker dock att LLM tappar specicifitet genom att använda ""tro"" istället för ""trott på"".",Han skulle aldrig tro på det.,Semantiskt,"['A' '- Angel.' 'Angel... somebody.'
 ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?""
 'Or that you are?']","['What about boyfriends?' 'He ever tell you anything about any of them?'
 ""What'd I want to hear?"" 'Want to rub my nose in it?'
 'He mentioned one guy.' 'A' '- Angel.' 'Angel... somebody.'
 ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?""
 'Or that you are?']"
What about you and Bobby Holland?,Hur är det med dig och Bobby Holland?,Och mellan dig och Bobby Holland?,Hur var det med dig och Bobby Holland?,['SEM' 'PR'],LLM WORSE,['ADD' 'SEM'],Syftar till att fråga efter en möjlig relation mellan personer,Anpassning efter svensk språknorm och språkkänsla,(O) - LLM ej tydlig med att frågan syftar till deras relation.,,Semantiskt,"[""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?""
 'Or that you are?' ""He'd never believe it."" ""He'd laugh.""
 ""And that's how I want it.""]","['Want to rub my nose in it?' 'He mentioned one guy.' 'A' '- Angel.'
 'Angel... somebody.'
 ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?""
 'Or that you are?' ""He'd never believe it."" ""He'd laugh.""
 ""And that's how I want it.""]"
I used to make fag jokes all the time.,Jag brukade skämta med bögar hela tiden.,Jag brukade dra bögskämt hela tiden,Jag brukade dra bögskämt hela tiden.,['SL' 'LF' 'BET'],LLM OK,[],Syftar till att säga man brukade skämta om homosexuella,"""fag jokes"" = bögskämt. Omformulering",,,"Ordval, betydelseförlust","[""He'd never believe it."" ""He'd laugh."" ""And that's how I want it.""
 'What about you and Bobby Holland?' 'I used to hate being gay.']","['A' '- Angel.' 'Angel... somebody.'
 ""Denny Massacio in there, what do you think he'd say, you told him Bobby was gay?""
 'Or that you are?' ""He'd never believe it."" ""He'd laugh.""
 ""And that's how I want it."" 'What about you and Bobby Holland?'
 'I used to hate being gay.']"
